Participant,Months,Gender,Condition,Order,Outcome,Looking,TaskOrder
P03,11.0657534,M,D,2,Efficient,15.88433938,1
P09,11.328767,M,B,2,Efficient,4.75900163,2
P11,11.854794,F ,C,1,Efficient,3.405062485,1
P12,11.723287,M,A,1,Efficient,3.829268591,2
P14,11.328767,M,C,1,Efficient,5.606151682,1
P16,11.361643,F ,C,1,Efficient,3.057079126,1
P18,11.09863,F ,A,1,Efficient,15.73374841,2
P19,11,M,D,2,Efficient,9.912610345,1
P20,10.723287,F ,C,1,Efficient,10.3340998,1
P21,11.59178,M,B,2,Efficient,15.37078278,2
P22,11.427397,M,D,2,Efficient,2.454682473,1
P23,10.526027,M,C,1,Efficient,9.657632461,1
P24,11.49315,F ,A,1,Efficient,11.88742275,2
P25,11.164383,M,D,2,Efficient,16.3199723,1
P26,11.230137,M,D,2,Efficient,6.520968614,1
P27,11.09863,F ,B,2,Efficient,3.929564909,2
P28,10.657534,F ,B,2,Efficient,2.768858527,2
P29,10.427397,F ,A,1,Efficient,2.010861845,2
P30,10.624657,M,B,2,Efficient,2.477235115,2
P35,11.49315,M,A,1,Efficient,7.953457532,2
P37,10.756164,F ,A,1,Efficient,2.813465929,2
P38,11.0657534,M,B,2,Efficient,11.66481024,2
P39,10.69041,F ,C,2,Efficient,4.721636067,1
P40,10.821917,M,D,2,Efficient,18.07323105,1
P03,11.0657534,M,D,1,Inefficient,22.78473221,1
P09,11.328767,M,B,1,Inefficient,9.964808557,2
P11,11.854794,F ,C,2,Inefficient,9.992407935,1
P12,11.723287,M,A,2,Inefficient,11.19010803,2
P14,11.328767,M,C,2,Inefficient,6.705919847,1
P16,11.361643,F ,C,2,Inefficient,11.40385301,1
P18,11.09863,F ,A,2,Inefficient,25.89728797,2
P19,11,M,D,1,Inefficient,19.26404283,1
P20,10.723287,F ,C,2,Inefficient,15.83405833,1
P21,11.59178,M,B,1,Inefficient,3.989219917,2
P22,11.427397,M,D,1,Inefficient,14.24682799,1
P23,10.526027,M,C,2,Inefficient,11.71712923,1
P24,11.49315,F ,A,2,Inefficient,2.323352168,2
P25,11.164383,M,D,1,Inefficient,6.504539687,1
P26,11.230137,M,D,1,Inefficient,9.271229535,1
P27,11.09863,F ,B,1,Inefficient,4.402247286,2
P28,10.657534,F ,B,1,Inefficient,3.9402149,2
P29,10.427397,F ,A,2,Inefficient,23.09310322,2
P30,10.624657,M,B,1,Inefficient,2.730395639,2
P35,11.49315,M,A,2,Inefficient,7.831264792,2
P37,10.756164,F ,A,2,Inefficient,10.89149453,2
P38,11.0657534,M,B,1,Inefficient,37.1251814,2
P39,10.69041,F ,C,2,Inefficient,11.60465828,1
P40,10.821917,M,D,2,Inefficient,16.5732604,1