Participant,Months,Gender,Condition,Obstacle,Task,Outcome,Looking,TaskOrder,Habituated
P01,11.23013446,f,1,yes,Inefficient,Unexpected,18.39224902,1,0
P01,11.23013446,f,1,yes,Inefficient,Expected,21.44848551,1,0
P01,11.49314528,f,4,no,Efficient,Unexpected,9.086885091,6,0
P01,11.49314528,f,4,no,Efficient,Expected,12.64622677,6,0
P02,11.26301082,m,1,yes,Efficient,Unexpected,30.56036081,1,1
P02,11.26301082,m,1,yes,Efficient,Expected,19.50562538,1,1
P02,11.29588717,m,4,no,Inefficient,Unexpected,14.12820482,2,0
P02,11.29588717,m,4,no,Inefficient,Expected,13.26426464,2,0
P03e,11.26301082,m,2,yes,Inefficient,Unexpected,5.991114083,4,0
P03e,11.26301082,m,2,yes,Inefficient,Expected,6.424672792,4,0
P03e,11.32876352,m,3,no,Efficient,Unexpected,16.88643679,6,1
P03e,11.32876352,m,3,no,Efficient,Expected,13.81512879,6,1
P04,10.72327974,f,3,no,Inefficient,Unexpected,23.28766173,1,0
P04,10.72327974,f,3,no,Inefficient,Expected,13.01145448,1,0
P04,11.09862906,f,2,yes,Efficient,Unexpected,18.85464266,5,1
P04,11.09862906,f,2,yes,Efficient,Expected,7.551044712,5,1
P05,10.7561561,f,4,no,Efficient,Unexpected,3.978141438,2,1
P05,10.7561561,f,4,no,Efficient,Expected,7.027462145,2,1
P05,11.23013446,f,1,yes,Inefficient,Unexpected,12.55545708,6,0
P05,11.23013446,f,1,yes,Inefficient,Expected,25.1630324,6,0
P06,11.36163987,f,4,no,Inefficient,Unexpected,15.53124146,4,0
P06,11.36163987,f,4,no,Inefficient,Expected,13.44529056,4,0
P06,11.49314528,f,1,yes,Efficient,Unexpected,7.481662878,6,0
P06,11.49314528,f,1,yes,Efficient,Expected,13.75180465,6,0
P06c,11.09862906,f,4,no,Inefficient,Unexpected,12.43093816,4,0
P06c,11.09862906,f,4,no,Inefficient,Expected,4.446261099,4,0
P06c,11.16438176,f,1,yes,Efficient,Unexpected,6.667969898,6,0
P06c,11.16438176,f,1,yes,Efficient,Expected,3.271804197,6,0
P07c,10.8219088,m,3,no,Efficient,Unexpected,15.77312705,4,0
P07c,10.8219088,m,3,no,Efficient,Expected,6.761134534,4,0
P07c,10.88766151,m,2,yes,Inefficient,Unexpected,6.750955638,6,0
P07c,10.88766151,m,2,yes,Inefficient,Expected,4.089089014,6,0
P08,11.16438176,f,2,yes,Efficient,Unexpected,11.80711177,3,0
P08,11.16438176,f,2,yes,Efficient,Expected,6.099912602,3,0
P08,11.23013446,f,3,no,Inefficient,Unexpected,6.013463255,5,0
P08,11.23013446,f,3,no,Inefficient,Expected,4.431426848,5,0
P08b,10.85478515,m,2,yes,Efficient,Unexpected,4.898416216,3,1
P08b,10.85478515,m,2,yes,Efficient,Expected,3.948468103,3,1
P08b,10.92053786,m,3,no,Inefficient,Unexpected,1.637513056,5,0
P08b,10.92053786,m,3,no,Inefficient,Expected,2.401549976,5,0
P08c,10.62465069,m,2,yes,Efficient,Unexpected,4.6366855,3,1
P08c,10.62465069,m,2,yes,Efficient,Expected,3.009511625,3,1
P08c,10.69040339,m,3,no,Inefficient,Unexpected,3.321039542,5,1
P08c,10.69040339,m,3,no,Inefficient,Expected,7.182050917,5,1
P08d,11.03287635,f,2,yes,Efficient,Unexpected,4.744268959,3,0
P08d,11.03287635,f,2,yes,Efficient,Expected,9.138324,3,0
P08d,11.09862906,f,3,no,Inefficient,Unexpected,5.485779125,5,1
P08d,11.09862906,f,3,no,Inefficient,Expected,4.607711625,5,1
P08e,10.72327974,m,2,yes,Efficient,Unexpected,6.934866465,3,0
P08e,10.72327974,m,2,yes,Efficient,Expected,2.18029008,3,0
P08e,10.78903245,m,3,no,Inefficient,Unexpected,4.174914033,5,0
P08e,10.78903245,m,3,no,Inefficient,Expected,7.374470779,5,0
P08f,11.16438176,m,2,yes,Efficient,Unexpected,2.518271091,3,0
P08f,11.16438176,m,2,yes,Efficient,Expected,8.334412756,3,0
P08f,11.36163987,m,3,no,Inefficient,Unexpected,15.12234371,5,0
P08f,11.36163987,m,3,no,Inefficient,Expected,4.166634506,5,0
P09,10.85478515,m,1,yes,Inefficient,Unexpected,20.31633999,1,0
P09,10.85478515,m,1,yes,Inefficient,Expected,14.2444775,1,0
P09,10.88766151,m,4,no,Efficient,Unexpected,5.397491118,2,0
P09,10.88766151,m,4,no,Efficient,Expected,4.219382635,2,0
P10b,11.16438176,m,1,yes,Efficient,Unexpected,11.05013176,3,0
P10b,11.16438176,m,1,yes,Efficient,Expected,16.84219774,3,0
P10b,11.23013446,m,4,no,Inefficient,Unexpected,18.61042874,5,0
P10b,11.23013446,m,4,no,Inefficient,Expected,9.183194437,5,0
P11,10.88766151,m,2,yes,Inefficient,Unexpected,2.549748693,4,0
P11,10.88766151,m,2,yes,Inefficient,Expected,2.356219074,4,0
P11,11.32876352,m,3,no,Efficient,Unexpected,14.51622872,6,0
P11,11.32876352,m,3,no,Efficient,Expected,5.145809741,6,0
P12,11.36163987,f,3,no,Inefficient,Unexpected,2.63238241,5,0
P12,11.36163987,f,3,no,Inefficient,Expected,13.91688602,5,0
P12,11.39451622,f,2,yes,Efficient,Unexpected,15.15926506,6,1
P12,11.39451622,f,2,yes,Efficient,Expected,17.10262296,6,1
P13,11.0657527,f,2,yes,Inefficient,Unexpected,3.095358211,5,0
P13,11.0657527,f,2,yes,Inefficient,Expected,1.662537429,5,0
P13,10.59177434,f,4,no,Efficient,Unexpected,8.409660239,1,0
P13,10.59177434,f,4,no,Efficient,Expected,5.759424713,1,0
P13b,11.13150541,m,2,yes,Inefficient,Unexpected,8.60507023,5,0
P13b,11.13150541,m,2,yes,Inefficient,Expected,13.88468482,5,0
P13b,10.88766151,m,4,no,Efficient,Unexpected,9.285662061,1,0
P13b,10.88766151,m,4,no,Efficient,Expected,6.854408093,1,0
P14,10.92053786,m,1,yes,Efficient,Unexpected,22.14550615,2,1
P14,10.92053786,m,1,yes,Efficient,Expected,5.335892845,2,1
P14,11,m,4,no,Inefficient,Unexpected,4.551188496,3,0
P14,11,m,4,no,Inefficient,Expected,3.561771143,3,0
P15,10.8219088,f,2,yes,Inefficient,Unexpected,10.85652361,4,0
P15,10.8219088,f,2,yes,Inefficient,Expected,3.173483353,4,0
P15,10.95341421,f,3,no,Efficient,Unexpected,9.489309689,5,0
P15,10.95341421,f,3,no,Efficient,Expected,7.433235383,5,0
P16,11.0657527,m,2,yes,Efficient,Unexpected,7.318647085,2,0
P16,11.0657527,m,2,yes,Efficient,Expected,3.503195981,2,0
P16,11.39451622,m,3,no,Inefficient,Unexpected,2.410284234,6,0
P16,11.39451622,m,3,no,Inefficient,Expected,11.86672021,6,0
P16b,11.09862906,f,2,yes,Efficient,Unexpected,11.3175512,2,1
P16b,11.09862906,f,2,yes,Efficient,Expected,4.88713609,2,1
P16b,11.29588717,f,3,no,Inefficient,Unexpected,11.38032203,6,1
P16b,11.29588717,f,3,no,Inefficient,Expected,7.433227134,6,1
P17,11.0657527,f,3,no,Efficient,Unexpected,28.68948584,5,0
P17,11.0657527,f,3,no,Efficient,Expected,20.2114012,5,0
P17,10.95341421,f,1,yes,Inefficient,Unexpected,20.51623724,2,0
P17,10.95341421,f,1,yes,Inefficient,Expected,6.465847162,2,0
P18,11,f,4,no,Inefficient,Unexpected,15.20662875,3,0
P18,11,f,4,no,Inefficient,Expected,13.51461443,3,0
P18,11.09862906,f,1,yes,Efficient,Unexpected,3.428516942,4,0
P18,11.09862906,f,1,yes,Efficient,Expected,3.49793366,4,0
P19,11.03287635,f,3,no,Efficient,Unexpected,6.338447409,1,0
P19,11.03287635,f,3,no,Efficient,Expected,5.949124932,1,0
P19,11.29588717,f,2,yes,Inefficient,Unexpected,5.109037519,3,1
P19,11.29588717,f,2,yes,Inefficient,Expected,9.03095394,3,1
P20b,11.03287635,m,3,no,Inefficient,Unexpected,5.454112776,3,0
P20b,11.03287635,m,3,no,Inefficient,Expected,5.425034196,3,0
P20b,11.16438176,m,2,yes,Efficient,Unexpected,6.864044505,5,1
P20b,11.16438176,m,2,yes,Efficient,Expected,7.302184814,5,1
P20e,10.62465069,f,3,no,Inefficient,Unexpected,3.774984156,3,1
P20e,10.62465069,f,3,no,Inefficient,Expected,9.20692455,3,1
P20e,10.7561561,f,2,yes,Efficient,Unexpected,6.565851406,5,0
P20e,10.7561561,f,2,yes,Efficient,Expected,3.246318771,5,0
P21,11.16438176,f,3,no,Efficient,Unexpected,5.473936225,3,0
P21,11.16438176,f,3,no,Efficient,Expected,4.884227447,3,0
P21,11.03287635,f,1,yes,Inefficient,Unexpected,9.83725182,1,0
P21,11.03287635,f,1,yes,Inefficient,Expected,5.435635245,1,0
P22,10.95341421,f,4,no,Inefficient,Unexpected,18.25094,3,0
P22,10.95341421,f,4,no,Inefficient,Expected,15.19420724,3,0
P22,11.13150541,f,1,yes,Efficient,Unexpected,8.756159212,5,1
P22,11.13150541,f,1,yes,Efficient,Expected,8.342710785,5,1
P23,10.85478515,f,3,no,Efficient,Unexpected,29.1653163,1,0
P23,10.85478515,f,3,no,Efficient,Expected,7.144360956,1,0
P23,11.26301082,f,2,yes,Inefficient,Unexpected,9.18608029,4,0
P23,11.26301082,f,2,yes,Inefficient,Expected,9.733981952,4,0
P24,11.09862906,f,2,yes,Efficient,Unexpected,10.92256995,1,1
P24,11.09862906,f,2,yes,Efficient,Expected,21.60223392,1,1
P24,11.42739258,f,3,no,Inefficient,Unexpected,7.204908244,6,0
P24,11.42739258,f,3,no,Inefficient,Expected,2.461789231,6,0
P25,10.8219088,f,4,no,Efficient,Unexpected,17.32023849,2,0
P25,10.8219088,f,4,no,Efficient,Expected,8.022199631,2,0
P25,10.95341421,f,1,yes,Inefficient,Unexpected,10.72755789,4,0
P25,10.95341421,f,1,yes,Inefficient,Expected,9.114794625,4,0
P26,11.29588717,m,1,yes,Efficient,Unexpected,6.047184726,3,0
P26,11.29588717,m,1,yes,Efficient,Expected,10.50245958,3,0
P26,11.49314528,m,4,no,Inefficient,Unexpected,1.802226602,6,1
P26,11.49314528,m,4,no,Inefficient,Expected,1.780997357,6,1
P27,10.65752704,f,2,yes,Inefficient,Unexpected,5.285460112,2,1
P27,10.65752704,f,2,yes,Inefficient,Expected,1.714462525,2,1
P27,10.85478515,f,3,no,Efficient,Unexpected,2.627096968,4,0
P27,10.85478515,f,3,no,Efficient,Expected,2.094532167,4,0
P27b,10.59177434,f,2,yes,Inefficient,Unexpected,10.26246954,2,1
P27b,10.59177434,f,2,yes,Inefficient,Expected,11.68471728,2,1
P27b,10.69040339,f,3,no,Efficient,Unexpected,5.469234133,4,0
P27b,10.69040339,f,3,no,Efficient,Expected,4.169392549,4,0
P27d,11.03287635,m,2,yes,Inefficient,Unexpected,8.667591833,2,0
P27d,11.03287635,m,2,yes,Inefficient,Expected,5.191569625,2,0
P27d,11.09862906,m,3,no,Efficient,Unexpected,6.724107833,4,0
P27d,11.09862906,m,3,no,Efficient,Expected,3.801063375,4,0
P28,11.42739258,m,3,no,Inefficient,Unexpected,11.55170871,5,1
P28,11.42739258,m,3,no,Inefficient,Expected,3.597025121,5,1
P28,11.46026893,m,2,yes,Efficient,Unexpected,7.2537979,6,0
P28,11.46026893,m,2,yes,Efficient,Expected,5.654738776,6,0
P29,11.16438176,f,1,yes,Inefficient,Unexpected,5.784168553,2,1
P29,11.16438176,f,1,yes,Inefficient,Expected,1.695931867,2,1
P29,11.39451622,f,4,no,Efficient,Unexpected,9.133740599,4,0
P29,11.39451622,f,4,no,Efficient,Expected,8.433593824,4,0
P29b,10.78903245,m,1,yes,Inefficient,Unexpected,7.139924301,2,0
P29b,10.78903245,m,1,yes,Inefficient,Expected,2.006147223,2,0
P29b,10.85478515,m,4,no,Efficient,Unexpected,1.890798828,4,1
P29b,10.85478515,m,4,no,Efficient,Expected,2.58664698,4,1
P30,11.09862906,f,1,yes,Efficient,Unexpected,10.52677126,2,0
P30,11.09862906,f,1,yes,Efficient,Expected,8.514425683,2,0
P30,11.13150541,f,4,no,Inefficient,Unexpected,9.753188267,3,0
P30,11.13150541,f,4,no,Inefficient,Expected,7.439748493,3,0
P30c,10.59177434,m,1,yes,Efficient,Unexpected,10.01289287,2,0
P30c,10.59177434,m,1,yes,Efficient,Expected,3.649970959,2,0
P30c,10.62465069,m,4,no,Inefficient,Unexpected,6.844548542,3,1
P30c,10.62465069,m,4,no,Inefficient,Expected,5.780054124,3,1
P31,11.23013446,f,2,yes,Inefficient,Unexpected,9.414483498,1,0
P31,11.23013446,f,2,yes,Inefficient,Expected,9.124629229,1,0
P31,11.39451622,f,3,no,Efficient,Unexpected,6.814964305,4,0
P31,11.39451622,f,3,no,Efficient,Expected,11.030063,4,0
P32,11.19725811,m,2,yes,Efficient,Unexpected,19.05176229,1,0
P32,11.19725811,m,2,yes,Efficient,Expected,6.862616355,1,0
P32,11.29588717,m,3,no,Inefficient,Unexpected,9.496588269,4,1
P32,11.29588717,m,3,no,Inefficient,Expected,2.846651954,4,1