Participant,Months,Gender,Condition,Order,Wall,Outcome,Looking,TaskOrder,Habituated
P02,11.46026893,m,1,2,no,Unexpected,24.14596836,5,0
P02,11.46026893,m,1,1,no,Expected,6.949906164,5,0
P03,10.8219088,m,3,2,yes,Unexpected,5.732533452,3,0
P03,10.8219088,m,3,1,yes,Expected,17.29061909,3,0
P06,11.26301082,f,1,2,no,Unexpected,12.12652213,3,1
P06,11.26301082,f,1,1,no,Expected,12.4444995,3,1
P09,10.92053786,m,3,2,yes,Unexpected,7.312127885,3,0
P09,10.92053786,m,3,1,yes,Expected,9.078944121,3,0
P11,10.85478515,m,3,2,yes,Unexpected,1.575704441,3,0
P11,10.85478515,m,3,1,yes,Expected,13.15774657,3,0
P14,11.32876352,m,1,2,no,Unexpected,3.400503735,6,1
P14,11.32876352,m,1,1,no,Expected,1.651303431,6,1
P15,10.52602163,f,3,2,yes,Unexpected,4.245447687,1,0
P15,10.52602163,f,3,1,yes,Expected,13.86583818,1,0
P18,10.88766151,f,1,2,no,Unexpected,7.333011889,1,1
P18,10.88766151,f,1,1,no,Expected,5.623140776,1,1
P19,11.32876352,f,3,2,yes,Unexpected,9.602304029,4,1
P19,11.32876352,f,3,1,yes,Expected,7.32673857,4,1
P22,10.88766151,f,1,2,no,Unexpected,6.734542731,2,0
P22,10.88766151,f,1,1,no,Expected,18.4872806,2,0
P23,11.36163987,f,3,2,yes,Unexpected,1.53372175,6,0
P23,11.36163987,f,3,1,yes,Expected,2.012536992,6,0
P26,11.46026893,m,1,2,no,Unexpected,2.881526442,5,0
P26,11.46026893,m,1,1,no,Expected,3.590954678,5,0
P27,10.92053786,f,1,2,no,Unexpected,8.679942668,5,0
P27,10.92053786,f,1,1,no,Expected,4.320067945,5,0
P30,11.46026893,f,1,2,no,Unexpected,11.8155415,6,0
P30,11.46026893,f,1,1,no,Expected,25.23051175,6,0
P31,11.29588717,f,3,2,yes,Unexpected,5.890444702,2,0
P31,11.29588717,f,3,1,yes,Expected,6.151997541,2,0
P07b,11.26301082,m,3,2,yes,Unexpected,2.008944884,5,1
P07b,11.26301082,m,3,1,yes,Expected,2.306408664,5,1
P10b,11,m,1,2,no,Unexpected,4.245760527,2,1
P10b,11,m,1,1,no,Expected,5.472115079,2,1
P07c,10.85478515,m,3,2,yes,Unexpected,17.25239199,5,0
P07c,10.85478515,m,3,1,yes,Expected,6.213051853,5,0
P27b,10.78903245,f,1,2,no,Unexpected,8.579163474,5,0
P27b,10.78903245,f,1,1,no,Expected,15.67999669,5,0
P03c,11.26301082,m,3,2,yes,Unexpected,7.692942781,3,0
P03c,11.26301082,m,3,1,yes,Expected,5.358101099,3,0
P27c,10.65752704,m,1,2,no,Unexpected,8.286731416,5,1
P27c,10.65752704,m,1,1,no,Expected,4.428029125,5,1
P03e,11.23013446,m,3,2,yes,Unexpected,16.54334575,3,0
P03e,11.23013446,m,3,1,yes,Expected,19.7101575,3,0
P30c,10.7561561,m,1,2,no,Unexpected,4.479701592,6,1
P30c,10.7561561,m,1,1,no,Expected,10.74772933,6,1
P27d,11.19725811,m,1,2,no,Unexpected,8.266840987,5,0
P27d,11.19725811,m,1,1,no,Expected,2.294180163,5,0
P06c,11.0657527,f,1,2,no,Unexpected,11.78641871,3,0
P06c,11.0657527,f,1,1,no,Expected,9.043269581,3,0
P01,11.36163987,f,4,1,yes,Unexpected,11.68207078,4,1
P01,11.36163987,f,4,2,yes,Expected,3.563410508,4,1
P04,11.13150541,f,2,1,no,Unexpected,6.143024494,6,0
P04,11.13150541,f,2,2,no,Expected,2.231978462,6,0
P05,10.49314528,f,4,1,yes,Unexpected,4.667532737,1,0
P05,10.49314528,f,4,2,yes,Expected,4.42287655,1,0
P12,11.23013446,f,2,1,no,Unexpected,9.264080111,1,1
P12,11.23013446,f,2,2,no,Expected,11.96584023,1,1
P13,10.8219088,f,4,1,yes,Unexpected,4.964581082,3,1
P13,10.8219088,f,4,2,yes,Expected,2.11316533,3,1
P17,11.03287635,f,4,1,yes,Unexpected,10.00804581,4,1
P17,11.03287635,f,4,2,yes,Expected,3.26530908,4,1
P20,11.29588717,f,2,1,no,Unexpected,5.649757912,2,1
P20,11.29588717,f,2,2,no,Expected,2.185593931,2,1
P21,11.26301082,f,4,1,yes,Unexpected,7.336591269,5,1
P21,11.26301082,f,4,2,yes,Expected,7.84426058,5,1
P24,11.16438176,f,2,1,no,Unexpected,1.509382094,2,1
P24,11.16438176,f,2,2,no,Expected,3.266110262,2,1
P25,11.16438176,f,4,1,yes,Unexpected,15.85599728,6,1
P25,11.16438176,f,4,2,yes,Expected,5.27947243,6,1
P28,11.39451622,m,2,1,no,Unexpected,28.2502265,4,0
P28,11.39451622,m,2,2,no,Expected,19.5490585,4,0
P29,11.29588717,f,4,1,yes,Unexpected,16.42334921,3,1
P29,11.29588717,f,4,2,yes,Expected,4.261515686,3,1
P32,11.39451622,m,2,1,no,Unexpected,6.031983509,6,0
P32,11.39451622,m,2,2,no,Expected,5.705454864,6,0
P08b,11.36163987,m,2,1,no,Unexpected,5.188714783,6,1
P08b,11.36163987,m,2,2,no,Expected,2.805258215,6,1
P13b,11.0657527,m,4,1,yes,Unexpected,9.236544306,3,0
P13b,11.0657527,m,4,2,yes,Expected,17.01806551,3,0
P16b,11.23013446,f,2,1,no,Unexpected,11.79571673,4,0
P16b,11.23013446,f,2,2,no,Expected,15.96027474,4,0
P20b,10.78903245,m,2,1,no,Unexpected,8.58440293,2,0
P20b,10.78903245,m,2,2,no,Expected,8.107694545,2,0
P20d,10.95341421,f,2,1,no,Unexpected,4.000075209,2,0
P20d,10.95341421,f,2,2,no,Expected,4.919642625,2,0
P08d,11.13150541,f,2,1,no,Unexpected,6.010508555,6,0
P08d,11.13150541,f,2,2,no,Expected,10.94934926,6,0
P20e,10.59177434,f,2,1,no,Unexpected,3.09400325,2,0
P20e,10.59177434,f,2,2,no,Expected,2.723374792,2,0
P29b,10.8219088,m,4,1,yes,Unexpected,1.845706946,3,1
P29b,10.8219088,m,4,2,yes,Expected,2.071893393,3,1
P08f,11.39451622,m,2,1,no,Unexpected,2.902873998,6,1
P08f,11.39451622,m,2,2,no,Expected,4.46762356,6,1
P08g,11.03287635,m,2,1,no,Unexpected,5.785386974,6,1
P08g,11.03287635,m,2,2,no,Expected,7.083254332,6,1