Participant,Months,Gender,Condition,Order,Object_Preferred,Outcome,Looking,TaskOrder,Habituated
P01,11.29588717,f,1,2,blue,Unexpected,7.601408109,3,1
P01,11.29588717,f,1,1,blue,Expected,19.35810742,3,1
P02,11.42739258,m,4,2,orange,Unexpected,6.735022464,2,0
P02,11.42739258,m,4,1,orange,Expected,19.06544805,2,0
P04,10.7561561,f,3,2,blue,Unexpected,6.663244802,4,0
P04,10.7561561,f,3,1,blue,Expected,5.201595567,4,0
P05,11.13150541,f,1,2,blue,Unexpected,5.873244472,4,0
P05,11.13150541,f,1,1,blue,Expected,13.95623511,4,0
P09,11.09862906,m,1,2,blue,Unexpected,16.60457919,1,0
P09,11.09862906,m,1,1,blue,Expected,18.27806435,1,0
P11,10.78903245,m,1,2,orange,Unexpected,11.37704799,3,0
P11,10.78903245,m,1,1,orange,Expected,8.09991147,3,0
P12,11.29588717,f,3,2,blue,Unexpected,7.531479408,1,0
P12,11.29588717,f,3,1,blue,Expected,7.96177692,1,0
P14,10.8219088,m,4,2,blue,Unexpected,3.088035398,6,0
P14,10.8219088,m,4,1,blue,Expected,2.505301961,6,0
P15,10.55889798,f,2,2,orange,Unexpected,12.06172401,6,0
P15,10.55889798,f,2,1,orange,Expected,12.5594989,6,0
P17,10.92053786,f,1,2,orange,Unexpected,1.501205259,3,0
P17,10.92053786,f,1,1,orange,Expected,16.08819719,3,0
P18,11.26301082,f,4,2,blue,Unexpected,4.75831082,5,1
P18,11.26301082,f,4,1,blue,Expected,3.015337701,5,1
P19,11.39451622,f,2,2,orange,Unexpected,8.964404361,3,0
P19,11.39451622,f,2,1,orange,Expected,5.4353693,3,0
P21,11.39451622,f,1,2,orange,Unexpected,2.424582806,5,1
P21,11.39451622,f,1,1,orange,Expected,2.713087806,5,1
P22,11.16438176,f,3,2,orange,Unexpected,4.198454966,5,1
P22,11.16438176,f,3,1,orange,Expected,9.117325839,5,1
P23,11.32876352,f,2,2,orange,Unexpected,5.939457052,4,1
P23,11.32876352,f,2,1,orange,Expected,6.101343721,4,1
P24,11.23013446,f,3,2,blue,Unexpected,12.68887261,6,1
P24,11.23013446,f,3,1,blue,Expected,16.21642296,6,1
P25,11,f,1,2,orange,Unexpected,14.67329675,4,0
P25,11,f,1,1,orange,Expected,4.218786546,4,0
P26,11.26301082,m,4,1,orange,Unexpected,10.61236895,4,1
P26,11.26301082,m,4,2,orange,Expected,15.57522574,4,1
P28,11.23013446,m,3,1,orange,Unexpected,19.16588996,1,0
P28,11.23013446,m,3,2,orange,Expected,6.741900799,1,0
P31,11.42739258,f,2,1,blue,Unexpected,3.027951255,2,0
P31,11.42739258,f,2,2,blue,Expected,7.197426687,2,0
P32,11.32876352,m,3,1,orange,Unexpected,3.715729672,6,0
P32,11.32876352,m,3,2,orange,Expected,2.71343637,6,0
P10b,10.92053786,m,4,1,blue,Unexpected,15.80197673,6,0
P10b,10.92053786,m,4,2,blue,Expected,25.54381342,6,0
P13b,11.03287635,m,2,1,blue,Unexpected,5.168177253,5,1
P13b,11.03287635,m,2,2,blue,Expected,4.344909849,5,1
P07c,10.59177434,m,2,1,orange,Unexpected,1.928908696,2,1
P07c,10.59177434,m,2,2,orange,Expected,11.21754375,2,1
P16b,11.26301082,f,3,1,blue,Unexpected,6.855171872,5,1
P16b,11.26301082,f,3,2,blue,Expected,7.405403119,5,1
P03e,11.19725811,m,2,1,orange,Unexpected,5.031016929,1,0
P03e,11.19725811,m,2,2,orange,Expected,7.704946149,1,0
P30c,10.55889798,m,4,1,blue,Unexpected,16.44610748,2,1
P30c,10.55889798,m,4,2,blue,Expected,11.6373443,2,1
P27d,11.0657527,m,2,1,blue,Unexpected,17.07065337,1,0
P27d,11.0657527,m,2,2,blue,Expected,8.437984797,1,0
P20e,10.72327974,f,3,1,blue,Unexpected,20.61497112,2,0
P20e,10.72327974,f,3,2,blue,Expected,11.91356933,2,0
P06c,11.03287635,f,4,1,orange,Unexpected,22.96008263,1,0
P06c,11.03287635,f,4,2,orange,Expected,11.47591117,1,0
P29b,10.92053786,m,1,1,blue,Unexpected,4.290906459,3,0
P29b,10.92053786,m,1,2,blue,Expected,10.43509617,3,0
P08f,11.23013446,m,3,1,orange,Unexpected,4.401634669,2,0
P08f,11.23013446,m,3,2,orange,Expected,5.232678265,2,0