id,GENDER,SE_perf,SE_soc,SE_phys,SSES,personality,BFI10_1PP,BFI10_3PP_sp,BFI10_3PP_real
1,2,3.142857143,2.571428571,3.5,9.21,1,2.5,3.115385,3.076923
1,2,3.142857143,2.571428571,3.5,9.21,2,3.5,3.576923,2.25
1,2,3.142857143,2.571428571,3.5,9.21,3,3,3.711538,2.903846
1,2,3.142857143,2.571428571,3.5,9.21,4,4,3.25,2.903846
1,2,3.142857143,2.571428571,3.5,9.21,5,2,2.384615,2.807692
2,1,3.857142857,3.428571429,2.333333333,9.62,1,3,3.076923,3.038462
2,1,3.857142857,3.428571429,2.333333333,9.62,2,3,2.596154,3.115385
2,1,3.857142857,3.428571429,2.333333333,9.62,3,3,3.019231,3.211538
2,1,3.857142857,3.428571429,2.333333333,9.62,4,3,3.288462,2.942308
2,1,3.857142857,3.428571429,2.333333333,9.62,5,2.5,3.269231,3.211538
3,2,3.428571429,3.142857143,3.333333333,9.9,1,3,3.038462,3.269231
3,2,3.428571429,3.142857143,3.333333333,9.9,2,2,3,2.769231
3,2,3.428571429,3.142857143,3.333333333,9.9,3,1.5,2.576923,3.384615
3,2,3.428571429,3.142857143,3.333333333,9.9,4,4,3.403846,2.461538
3,2,3.428571429,3.142857143,3.333333333,9.9,5,4,3,2.769231
4,1,4.285714286,4,3.333333333,11.62,1,3.5,2.865385,3.173077
4,1,4.285714286,4,3.333333333,11.62,2,3,2.711538,2.923077
4,1,4.285714286,4,3.333333333,11.62,3,4,2.730769,3.134615
4,1,4.285714286,4,3.333333333,11.62,4,3,3.153846,2.769231
4,1,4.285714286,4,3.333333333,11.62,5,2.5,2.884615,3.288462
5,2,2.857142857,1.714285714,1.666666667,6.24,1,5,2.980769,3.192308
5,2,2.857142857,1.714285714,1.666666667,6.24,2,3,2.903846,3.596154
5,2,2.857142857,1.714285714,1.666666667,6.24,3,2.5,3.038462,3.230769
5,2,2.857142857,1.714285714,1.666666667,6.24,4,1,3.192308,2.634615
5,2,2.857142857,1.714285714,1.666666667,6.24,5,4.5,2.807692,3.519231
6,1,3.285714286,4.428571429,2.833333333,10.55,1,4,2.75,2.865385
6,1,3.285714286,4.428571429,2.833333333,10.55,2,4,2.480769,2.673077
6,1,3.285714286,4.428571429,2.833333333,10.55,3,3,3.038462,2.634615
6,1,3.285714286,4.428571429,2.833333333,10.55,4,3.5,3.365385,3.269231
6,1,3.285714286,4.428571429,2.833333333,10.55,5,4.5,3.134615,3.057692
7,1,3.571428571,3,3.333333333,9.9,1,3,2.865385,2.826923
7,1,3.571428571,3,3.333333333,9.9,2,3,2.615385,1.961538
7,1,3.571428571,3,3.333333333,9.9,3,4,2.730769,2.326923
7,1,3.571428571,3,3.333333333,9.9,4,4,3.153846,3.480769
7,1,3.571428571,3,3.333333333,9.9,5,4.5,2.826923,2.211538
8,2,2.285714286,2.714285714,2.666666667,7.67,1,4,3.115385,2.942308
8,2,2.285714286,2.714285714,2.666666667,7.67,2,2.5,2.942308,2.692308
8,2,2.285714286,2.714285714,2.666666667,7.67,3,3,2.5,3.134615
8,2,2.285714286,2.714285714,2.666666667,7.67,4,4.5,2.846154,3.038462
8,2,2.285714286,2.714285714,2.666666667,7.67,5,4,2.884615,2.923077
9,1,3.428571429,2.571428571,2.333333333,8.33,1,3,3,3.288462
9,1,3.428571429,2.571428571,2.333333333,8.33,2,4,3.461538,2.980769
9,1,3.428571429,2.571428571,2.333333333,8.33,3,3.5,3.25,3.519231
9,1,3.428571429,2.571428571,2.333333333,8.33,4,4,3.346154,2.692308
9,1,3.428571429,2.571428571,2.333333333,8.33,5,3,2.615385,3.057692
10,1,5,4.428571429,4.833333333,14.26,1,4.5,3.192308,3.480769
10,1,5,4.428571429,4.833333333,14.26,2,5,3.346154,3.711538
10,1,5,4.428571429,4.833333333,14.26,3,5,3.692308,3.615385
10,1,5,4.428571429,4.833333333,14.26,4,2,3.692308,2.557692
10,1,5,4.428571429,4.833333333,14.26,5,3,2.653846,3.634615
11,2,4.714285714,4.428571429,3.166666667,12.31,1,3,2.423077,3.019231
11,2,4.714285714,4.428571429,3.166666667,12.31,2,4,3.057692,3.076923
11,2,4.714285714,4.428571429,3.166666667,12.31,3,3.5,2.730769,3.019231
11,2,4.714285714,4.428571429,3.166666667,12.31,4,2.5,2.865385,3.057692
11,2,4.714285714,4.428571429,3.166666667,12.31,5,3.5,2.75,3.346154
12,1,3.857142857,3.428571429,4.333333333,11.62,1,3,3.326923,3.038462
12,1,3.857142857,3.428571429,4.333333333,11.62,2,4,3.519231,3.576923
12,1,3.857142857,3.428571429,4.333333333,11.62,3,3,3.423077,3.269231
12,1,3.857142857,3.428571429,4.333333333,11.62,4,4,3.307692,2.730769
12,1,3.857142857,3.428571429,4.333333333,11.62,5,4,2.653846,3.038462
13,1,2.714285714,2.285714286,1,6,1,1.5,2.615385,3.25
13,1,2.714285714,2.285714286,1,6,2,2.5,2.326923,3.211538
13,1,2.714285714,2.285714286,1,6,3,2,2.115385,3.115385
13,1,2.714285714,2.285714286,1,6,4,5,2.519231,2.538462
13,1,2.714285714,2.285714286,1,6,5,2.5,3.634615,3.288462
14,2,4,3.142857143,3,10.14,1,2.5,3.326923,3.557692
14,2,4,3.142857143,3,10.14,2,3,2.788462,2.326923
14,2,4,3.142857143,3,10.14,3,5,2.192308,3.153846
14,2,4,3.142857143,3,10.14,4,3,2.730769,2.384615
14,2,4,3.142857143,3,10.14,5,4,3.038462,2.788462
15,1,2.571428571,2,1.5,6.07,1,1,2.673077,2.75
15,1,2.571428571,2,1.5,6.07,2,3,2.846154,2.326923
15,1,2.571428571,2,1.5,6.07,3,4,3.057692,2.596154
15,1,2.571428571,2,1.5,6.07,4,4,3.307692,3.403846
15,1,2.571428571,2,1.5,6.07,5,3,2.846154,2.576923
16,1,4.428571,4.428571,4.166667,13.02,1,5,3.403846,2.884615
16,1,4.428571,4.428571,4.166667,13.02,2,5,3.346154,3
16,1,4.428571,4.428571,4.166667,13.02,3,4.5,3.615385,2.923077
16,1,4.428571,4.428571,4.166667,13.02,4,1,3.557692,3.230769
16,1,4.428571,4.428571,4.166667,13.02,5,5,2.480769,3.076923
17,2,3.428571429,3.571428571,3.5,10.5,1,2,2.942308,3.384615
17,2,3.428571429,3.571428571,3.5,10.5,2,4,3.173077,2.615385
17,2,3.428571429,3.571428571,3.5,10.5,3,3,3,3.403846
17,2,3.428571429,3.571428571,3.5,10.5,4,2.5,3.211538,3.019231
17,2,3.428571429,3.571428571,3.5,10.5,5,2,2.865385,3.211538
18,1,3.5714,3.7143,3.3333,10.62,1,3.5,2.980769,3.057692
18,1,3.5714,3.7143,3.3333,10.62,2,3,3.692308,2.923077
18,1,3.5714,3.7143,3.3333,10.62,3,2.5,3.615385,3.807692
18,1,3.5714,3.7143,3.3333,10.62,4,4,3.384615,2.576923
18,1,3.5714,3.7143,3.3333,10.62,5,2,2.711538,3.076923
19,1,3.428571429,3.571428571,3,10,1,3,3.307692,3.596154
19,1,3.428571429,3.571428571,3,10,2,3.5,3.25,3.557692
19,1,3.428571429,3.571428571,3,10,3,3.5,3.634615,3.538462
19,1,3.428571429,3.571428571,3,10,4,4,3,2.653846
19,1,3.428571429,3.571428571,3,10,5,3.5,3.480769,3.288462
20,2,4.285714286,4.428571429,3.666666667,12.38,1,3,3.480769,3.807692
20,2,4.285714286,4.428571429,3.666666667,12.38,2,4,3.076923,3.634615
20,2,4.285714286,4.428571429,3.666666667,12.38,3,4.5,3.346154,3.538462
20,2,4.285714286,4.428571429,3.666666667,12.38,4,1,2.596154,2.519231
20,2,4.285714286,4.428571429,3.666666667,12.38,5,4,3.173077,3.192308
21,2,4.571428571,4.857142857,4.166666667,13.6,1,4,3.096154,3.365385
21,2,4.571428571,4.857142857,4.166666667,13.6,2,3,2.365385,2.942308
21,2,4.571428571,4.857142857,4.166666667,13.6,3,3.5,3,3.211538
21,2,4.571428571,4.857142857,4.166666667,13.6,4,1,3.173077,2.846154
21,2,4.571428571,4.857142857,4.166666667,13.6,5,5,2.576923,3
22,2,3.285714286,3.142857143,2.833333333,9.26,1,4,3.365385,2.673077
22,2,3.285714286,3.142857143,2.833333333,9.26,2,4.5,2.692308,1.903846
22,2,3.285714286,3.142857143,2.833333333,9.26,3,3,3.096154,2.596154
22,2,3.285714286,3.142857143,2.833333333,9.26,4,3.5,3.019231,3.480769
22,2,3.285714286,3.142857143,2.833333333,9.26,5,3,2.923077,2.269231
23,1,3.857142857,2.857142857,3.5,10.21,1,3.5,2.980769,2.673077
23,1,3.857142857,2.857142857,3.5,10.21,2,3.5,3.365385,3.307692
23,1,3.857142857,2.857142857,3.5,10.21,3,3,3.461538,3.288462
23,1,3.857142857,2.857142857,3.5,10.21,4,4,2.884615,3.576923
23,1,3.857142857,2.857142857,3.5,10.21,5,4.5,3.365385,3.307692
24,1,4.142857143,4,3.666666667,11.81,1,4,3.173077,3.269231
24,1,4.142857143,4,3.666666667,11.81,2,3.5,3.692308,3.538462
24,1,4.142857143,4,3.666666667,11.81,3,4.5,3.653846,3.711538
24,1,4.142857143,4,3.666666667,11.81,4,3,2.423077,2.615385
24,1,4.142857143,4,3.666666667,11.81,5,3,3.5,3.557692
25,1,4.571428571,4.428571429,4.333333333,13.33,1,5,3.326923,2.923077
25,1,4.571428571,4.428571429,4.333333333,13.33,2,5,3.538462,3.461538
25,1,4.571428571,4.428571429,4.333333333,13.33,3,5,3.634615,3.653846
25,1,4.571428571,4.428571429,4.333333333,13.33,4,3,2.865385,3.134615
25,1,4.571428571,4.428571429,4.333333333,13.33,5,3,3.538462,3.480769
26,1,4.285714286,4.428571429,4.166666667,12.88,1,2.5,2.865385,3.057692
26,1,4.285714286,4.428571429,4.166666667,12.88,2,2.5,2.769231,3.75
26,1,4.285714286,4.428571429,4.166666667,12.88,3,3.5,3.173077,3.961538
26,1,4.285714286,4.428571429,4.166666667,12.88,4,3.5,3.057692,2.826923
26,1,4.285714286,4.428571429,4.166666667,12.88,5,4.5,3.269231,3.365385
27,1,3.285714286,1.714285714,3,8,1,1.5,3.5,3.480769
27,1,3.285714286,1.714285714,3,8,2,2,3.5,2.807692
27,1,3.285714286,1.714285714,3,8,3,2,3.538462,3.307692
27,1,3.285714286,1.714285714,3,8,4,3.5,2.711538,2.807692
27,1,3.285714286,1.714285714,3,8,5,4.5,3.326923,3.134615
28,1,3.714285714,3.857142857,4,11.57,1,4,3.153846,3.230769
28,1,3.714285714,3.857142857,4,11.57,2,1.5,3.692308,3.288462
28,1,3.714285714,3.857142857,4,11.57,3,3,3.75,3.288462
28,1,3.714285714,3.857142857,4,11.57,4,3,2.596154,2.961538
28,1,3.714285714,3.857142857,4,11.57,5,4,3.557692,3.25
29,2,3.857142857,4.285714286,4.166666667,12.31,1,4.5,3.615385,3.442308
29,2,3.857142857,4.285714286,4.166666667,12.31,2,4,3.384615,2.807692
29,2,3.857142857,4.285714286,4.166666667,12.31,3,3,3.365385,3.384615
29,2,3.857142857,4.285714286,4.166666667,12.31,4,3,2.346154,2.673077
29,2,3.857142857,4.285714286,4.166666667,12.31,5,3.5,3.326923,3.192308
30,2,3.142857143,2.571428571,1.5,7.21,1,3,3.173077,3.538462
30,2,3.142857143,2.571428571,1.5,7.21,2,3,3.519231,2.788462
30,2,3.142857143,2.571428571,1.5,7.21,3,3,3.576923,2.923077
30,2,3.142857143,2.571428571,1.5,7.21,4,3.5,2.711538,2.884615
30,2,3.142857143,2.571428571,1.5,7.21,5,4,3.288462,3
31,2,4.142857143,3,3.333333333,10.48,1,2.5,3.846154,3.307692
31,2,4.142857143,3,3.333333333,10.48,2,4.5,4.076923,3
31,2,4.142857143,3,3.333333333,10.48,3,4.5,3.807692,3.230769
31,2,4.142857143,3,3.333333333,10.48,4,3,2.153846,3.019231
31,2,4.142857143,3,3.333333333,10.48,5,5,3.865385,3.192308
32,2,4,2.142857143,2.166666667,8.31,1,3.5,3.365385,2.653846
32,2,4,2.142857143,2.166666667,8.31,2,3.5,3.326923,2.538462
32,2,4,2.142857143,2.166666667,8.31,3,4.5,3.461538,2.461538
32,2,4,2.142857143,2.166666667,8.31,4,4.5,2.346154,3.307692
32,2,4,2.142857143,2.166666667,8.31,5,4.5,3.269231,2.711538
33,1,4.142857143,4.428571429,3.833333333,12.4,1,2.5,2.961538,3.538462
33,1,4.142857143,4.428571429,3.833333333,12.4,2,3,2.942308,3.134615
33,1,4.142857143,4.428571429,3.833333333,12.4,3,4,3.403846,3.557692
33,1,4.142857143,4.428571429,3.833333333,12.4,4,4,3.173077,2.538462
33,1,4.142857143,4.428571429,3.833333333,12.4,5,5,3.25,3.365385
34,1,4,2.714285714,3.333333333,10.05,1,2.5,3,3.25
34,1,4,2.714285714,3.333333333,10.05,2,3.5,2.961538,3.576923
34,1,4,2.714285714,3.333333333,10.05,3,4.5,3.307692,3.807692
34,1,4,2.714285714,3.333333333,10.05,4,1,2.903846,2.846154
34,1,4,2.714285714,3.333333333,10.05,5,4.5,3.173077,3.576923
35,1,3.714285714,2.714285714,3.166666667,9.6,1,4.5,2.961538,3.480769
35,1,3.714285714,2.714285714,3.166666667,9.6,2,4,3,3.576923
35,1,3.714285714,2.714285714,3.166666667,9.6,3,4,3.403846,3.788462
35,1,3.714285714,2.714285714,3.166666667,9.6,4,4.5,3,2.5
35,1,3.714285714,2.714285714,3.166666667,9.6,5,4,3.134615,3.384615
36,1,3.714285714,3.714285714,3.333333333,10.76,1,4,3.25,3.230769
36,1,3.714285714,3.714285714,3.333333333,10.76,2,3.5,2.769231,3.634615
36,1,3.714285714,3.714285714,3.333333333,10.76,3,3.5,3.769231,3.769231
36,1,3.714285714,3.714285714,3.333333333,10.76,4,3,3.057692,2.884615
36,1,3.714285714,3.714285714,3.333333333,10.76,5,3,3.173077,3.423077
37,1,3.571428571,3.714285714,2.5,9.79,1,1.5,3.230769,2.769231
37,1,3.571428571,3.714285714,2.5,9.79,2,2,2.711538,2.980769
37,1,3.571428571,3.714285714,2.5,9.79,3,2.5,3.25,3
37,1,3.571428571,3.714285714,2.5,9.79,4,5,2.769231,3.538462
37,1,3.571428571,3.714285714,2.5,9.79,5,3.5,3.076923,3.211538
38,1,3.428571429,3,2.833333333,9.26,1,3,2.666667,3.183333
38,1,3.428571429,3,2.833333333,9.26,2,3,2.816667,3.033333
38,1,3.428571429,3,2.833333333,9.26,3,3.5,3.283333,3.433333
