SIM,nonself_SIM,SIM_controlled,SE_perf,SE_soc,SE_phys,EXT,AGR,CON,NEU,OPE
1.37,1.72,-0.37,3.14,2.57,3.5,2.5,3.5,3,4,2
1.26,1.62,-0.56235,3.86,3.43,2.33,3,3,3,3,2.5
1.31,1.69,-0.49502,3.43,3.14,3.33,3,2,1.5,4,4
0.74,1.41,-1.75869,4.29,4,3.33,3.5,3,4,3,2.5
1.61,1.64,0.45151,2.86,1.71,1.67,5,3,2.5,1,4.5
0.76,1.86,-2.33304,3.29,4.43,2.83,4,4,3,3.5,4.5
1.58,1.82,0.10922,3.57,3,3.33,3,3,4,4,4.5
1.38,1.59,-0.15644,2.29,2.71,2.67,4,2.5,3,4.5,4
2.19,1.52,2.32231,3.43,2.57,2.33,3,4,3.5,4,3
0.86,1.67,-1.78867,5,4.43,4.83,4.5,5,5,2,3
1.54,1.43,0.54489,4.71,4.43,3.17,3,4,3.5,2.5,3.5
1.15,1.22,-0.27859,3.86,3.43,4.33,3,4,3,4,4
1.57,1.76,0.16419,2.71,2.29,1,1.5,2.5,2,5,2.5
1.44,1.87,-0.37907,4,3.14,3,2.5,3,5,3,4
1.42,1.69,-0.17567,2.57,2,1.5,1,3,4,4,3
1.17,1.66,-0.87834,4.43,4.43,4.17,5,5,4.5,1,5
0.94,1.6,-1.43994,3.43,3.57,3.5,2,4,3,2.5,2
1.58,1.78,0.14979,3.57,3.71,3.33,3.5,3,2.5,4,2
1.14,1.63,-0.9056,3.43,3.57,3,3,3.5,3.5,4,3.5
1,2.05,-1.9272,4.29,4.43,3.67,3,4,4.5,1,4
0.71,1.53,-2.02945,4.57,4.86,4.17,4,3,3.5,1,5
1.48,1.54,0.21601,3.29,3.14,2.83,4,4.5,3,3.5,3
1.38,1.54,-0.08241,3.86,2.86,3.5,3.5,3.5,3,4,4.5
2.09,1.76,1.65318,4.14,4,3.67,4,3.5,4.5,3,3
1.24,1.38,-0.25182,4.57,4.43,4.33,5,5,5,3,3
1.3,1.22,0.1573,4.29,4.43,4.17,2.5,2.5,3.5,3.5,4.5
1.73,1.58,0.8862,3.29,1.71,3,1.5,2,2,3.5,4.5
1.19,1.7,-0.84435,3.71,3.86,4,4,1.5,3,3,4
1.33,1.34,0.07708,3.86,4.29,4.17,4.5,4,3,3,3.5
1.54,1.79,0.02733,3.14,2.57,1.5,3,3,3,3.5,4
1.88,1.5,1.42281,4.14,3,3.33,2.5,4.5,4.5,3,5
1.3,1.56,-0.34005,4,2.14,2.17,3.5,3.5,4.5,4.5,4.5
1.28,1.76,-0.69944,4.14,4.43,3.83,2.5,3,4,4,5
0.99,1.5,-1.16004,4,2.71,3.33,2.5,3.5,4.5,1,4.5
1.59,1.54,0.53546,3.71,2.71,3.17,4.5,4,4,4.5,4
1.38,1.93,-0.64169,3.71,3.71,3.33,4,3.5,3.5,3,3
1.81,1.62,1.05389,3.57,3.71,2.5,1.5,2,2.5,5,3.5
1.15,1.51,-0.72344,3.43,3,2.83,3,3,3.5,4.5,4
1.72,1.68,0.70283,4.43,4.29,2.5,3,3,3,2.5,5
1.73,1.36,1.1932,4.29,2.57,1.67,2.5,4,3,3,5
1.76,1.57,0.99946,3.57,3.86,3.17,4,4,2.5,2,3.5
1.43,1.44,0.20409,4.29,3.71,4.5,3,3,5,1.5,3.5
1.43,1.51,0.0933,4.57,3,3.33,3,3.5,2,5,5
1.77,1.76,0.72956,3,2.71,2.67,1.5,4.5,4.5,4.5,4
0.74,1.22,-1.46703,3.57,2.86,3.33,2.5,3.5,3,3,4
1.52,1.62,0.22205,4.71,4.57,3.83,4.5,2.5,2.5,2.5,4.5
1.5,1.42,0.44243,3,2.86,2.83,4,3,3,2,3.5
1.12,1.18,-0.3326,3.71,3.71,3.5,4.5,4.5,4,4,3
1.38,1.68,-0.28571,4.14,3.71,3.83,4.5,5,3,2.5,4
1.44,1.32,0.42152,3.71,2.86,3.33,2.5,4.5,4.5,4,3
1.27,1.41,-0.21667,4.57,4.43,4.17,3,5,4,2,4.5
1.1,1.42,-0.71661,4.43,4.57,4,3,3,3.5,4,4
0.89,1.33,-1.19879,4,3.71,2.83,2,3,5,1.5,3
1.9,1.56,1.41239,3.71,3.29,3.5,2.5,2.5,3.5,4.5,5
1.57,1.39,0.67454,4,3.57,3,4.5,2,5,2.5,5
1.49,1.52,0.27453,2.14,3.14,3.17,2,3.5,4,5,5
1.39,1.67,-0.22598,4,3.71,4.17,5,4.5,3.5,3.5,4.5
1.89,1.44,1.54643,3.71,3.14,3,4.5,2.5,4,3.5,2
1.4,1.5,0.02239,4.43,4.14,3.83,2.5,4,2.5,2,3
1.16,1.73,-0.98481,3.57,3.57,2.67,3.5,3.5,4.5,2,5
1.83,1.49,1.29544,3.86,3.14,3.17,3,3.5,3,2.5,5
1.35,1.55,-0.17784,5,4.43,4.83,5,4,3,2,2.5
1.62,1.59,0.54348,4,3.57,3.17,3,3,2.5,3,3.5
1.69,1.72,0.55409,4.14,3.43,3,2.5,5,3.5,2.5,4
1.42,1.88,-0.44258,4,4,3.67,4.5,4.5,3.5,1.5,3
1.59,1.74,0.25656,3.71,2,3.17,1,3,4.5,4.5,4
2.4,1.95,2.28608,3.43,3,3.17,2.5,3.5,3.5,4,4
1.01,1.48,-1.07902,3.86,2.33,2.5,2.5,3.5,3.5,4,4
1.59,1.76,0.20125,3.43,3.14,3.17,2.5,3.5,2,2,4.5
1.43,1.8,-0.31441,3.86,4.29,3.67,1.5,3.5,3,3,4.5
1.08,1.67,-1.14686,2.86,2.29,2.33,3,3.5,2.5,4.5,3
1.45,1.41,0.30047,3.57,4,3.83,4.5,3.5,5,2.5,4
2.41,1.86,2.4685,4,3.29,2.5,4,2,2.5,5,2.5
1.86,1.72,1.05456,1.71,2.43,2.33,3,3.5,3,4,4
1.6,1.65,0.4165,3.29,3.57,2.83,2.5,3.5,3.5,5,3
1.94,1.71,1.30978,3.14,3,2,4.5,3.5,3,3,4.5
1.3,1.74,-0.5864,4.29,2.86,3.67,4,3.5,3.5,5,4.5
