Subj,Finished,punishPolice,punishMoney,blamePerson,dichot,moralPerson,moralAction,competence,youNotice,youFine,youPolice,Gender,Age,Ethnicity.race,PolFac_1,PolFac_2,PolFac_3,scenariosDO,sceneType
81,1,4,4,7,1,3,3,5,7,4,5,2,40,6,5,5,4,prAlone,marijuana
82,1,6,4,5,1,5,5,2,5,2,4,1,19,4,2,2,6,prAndSn,marijuana
83,1,2,5,4,1,2,2,4,3,4,4,2,21,7,7,7,7,prAndSn,marijuana
84,1,2,1,3,0,6,1,2,2,2,2,2,49,4,7,7,7,prAndSn,marijuana
85,1,1,1,1,0,4,1,4,6,2,2,1,37,4,7,7,7,prAlone,marijuana
86,1,2,3,2,0,1,1,3,5,3,2,2,34,5,6,7,5,prAlone,marijuana
87,1,4,4,4,1,4,4,3,2,1,1,2,55,4,6,6,6,prAndSn,marijuana
88,1,1,2,7,0,2,2,4,3,2,1,2,33,4,4,4,3,prAlone,marijuana
89,1,1,1,2,0,1,1,6,1,1,1,2,25,4,7,7,7,prAndSn,marijuana
90,1,1,1,7,0,1,1,7,6,1,1,2,18,4,2,2,NA,prAlone,marijuana
91,1,2,4,4,1,4,2,4,4,4,4,2,50,4,7,7,7,prAndSn,marijuana
92,1,2,1,4,0,2,3,4,6,7,7,1,21,4,4,4,4,prAndSn,marijuana
93,1,4,4,4,1,4,3,4,7,4,5,2,19,5,5,7,3,prAndSn,marijuana
94,1,1,1,1,0,2,1,4,5,5,5,3,22,4,1,1,1,prAndSn,marijuana
95,1,1,1,7,1,2,1,4,1,1,1,2,35,4,7,7,5,prAndSn,marijuana
96,1,1,1,7,0,1,1,4,7,1,1,1,31,4,6,5,6,prAlone,marijuana
97,1,3,3,3,1,1,1,6,6,5,5,2,52,4,6,6,6,prAlone,marijuana
98,1,1,1,1,0,1,1,4,5,1,1,2,53,4,5,5,5,prAlone,marijuana
99,1,2,3,3,0,2,2,6,1,1,1,2,32,4,6,6,6,prAlone,marijuana
100,1,2,2,6,0,1,1,5,5,3,3,2,47,4,2,2,3,prAlone,marijuana
101,1,4,4,4,0,4,2,4,4,5,6,1,35,6,4,5,4,prAlone,marijuana
102,1,1,1,1,0,1,1,4,5,2,2,1,23,5,6,6,6,prAlone,marijuana
103,1,3,2,2,1,1,1,2,6,2,2,2,53,4,6,6,5,prAlone,marijuana
104,1,5,4,3,0,5,5,4,7,6,7,1,24,4,6,2,6,prAndSn,marijuana
105,1,1,1,7,0,1,1,5,6,1,1,1,32,4,7,7,7,prAlone,marijuana
106,1,3,3,3,0,2,2,4,4,4,4,2,31,4,7,7,7,prAndSn,marijuana
107,1,2,2,2,0,2,1,4,4,1,1,1,37,4,3,3,3,prAndSn,marijuana
108,1,4,5,5,1,4,4,5,6,5,3,2,25,4,6,6,6,prAndSn,marijuana
109,1,5,5,5,1,4,4,3,6,6,5,2,42,4,6,6,6,prAndSn,marijuana
110,1,1,2,1,1,5,1,2,3,3,2,1,49,4,3,6,2,prAndSn,marijuana
111,1,2,2,2,0,1,1,5,2,2,2,2,53,4,6,6,6,prAlone,marijuana
112,1,2,4,7,1,7,7,4,3,4,4,2,37,6,4,4,5,prAlone,marijuana
113,1,4,5,7,1,3,3,2,2,1,1,2,21,4,4,4,2,prAndSn,marijuana
114,1,1,2,3,0,4,4,4,4,3,3,1,18,4,4,4,4,prAlone,marijuana
115,1,7,7,7,1,4,1,3,7,7,7,2,23,4,2,2,2,prAndSn,marijuana
116,1,2,4,3,0,3,6,3,3,4,3,1,35,4,3,5,2,prAlone,marijuana
117,1,7,7,7,1,5,5,4,7,3,3,2,29,4,6,6,6,prAndSn,marijuana
118,1,2,2,2,0,2,1,4,5,5,4,2,58,5,6,7,6,prAlone,marijuana
119,1,5,6,7,1,3,3,4,7,7,7,1,24,4,7,7,7,prAndSn,marijuana
120,1,5,7,7,1,5,1,3,5,5,5,2,34,4,7,7,5,prAndSn,marijuana
121,1,2,3,4,1,4,5,3,4,3,1,1,20,4,3,4,4,prAndSn,marijuana
122,1,1,1,1,0,1,1,5,1,1,1,2,55,4,6,7,5,prAlone,marijuana
123,1,4,4,4,0,4,1,3,1,1,1,2,21,5,7,7,7,prAndSn,marijuana
124,1,1,1,4,0,1,1,5,3,1,1,3,22,8,7,7,7,prAlone,marijuana
125,1,7,7,7,1,3,2,2,2,1,3,2,22,8,4,5,2,prAndSn,marijuana
126,1,2,1,4,0,1,1,5,4,2,2,2,46,4,6,6,4,prAlone,marijuana
127,1,3,3,5,0,4,4,4,2,3,3,2,44,7,4,4,4,prAndSn,marijuana
128,1,5,5,4,0,4,4,4,5,5,4,2,39,4,5,4,5,prAndSn,marijuana
129,1,1,4,7,0,1,1,4,7,4,4,1,44,4,6,6,6,prAlone,marijuana
130,1,1,1,1,0,1,1,7,1,1,1,2,36,4,6,7,6,prAlone,marijuana
131,1,3,5,6,1,4,1,3,5,5,6,1,51,4,7,7,6,prAlone,marijuana
132,1,1,1,1,0,1,1,7,2,2,1,1,31,4,1,1,1,prAlone,marijuana
133,1,3,3,2,1,5,1,2,6,7,7,2,34,4,7,7,5,prAndSn,marijuana
134,1,3,2,2,0,1,1,3,1,1,1,2,54,4,2,3,3,prAndSn,marijuana
135,1,7,7,7,1,6,4,1,7,7,7,2,38,4,5,5,6,prAndSn,marijuana
136,1,1,1,1,0,4,1,4,4,1,1,1,53,4,2,2,2,prAndSn,marijuana
137,1,1,1,1,0,1,1,6,5,5,4,2,26,4,7,7,7,prAlone,marijuana
138,1,7,7,7,1,2,2,5,4,5,5,1,44,6,3,3,5,prAndSn,marijuana
139,1,3,2,3,1,5,2,3,3,6,6,2,37,4,6,6,7,prAndSn,marijuana
140,1,5,6,7,1,3,3,5,5,2,3,1,18,4,5,6,2,prAndSn,marijuana
141,1,3,3,7,1,4,2,4,6,1,1,2,30,4,6,7,5,prAlone,marijuana
142,1,1,1,1,0,1,1,3,4,1,1,1,32,4,6,6,6,prAlone,marijuana
143,1,6,6,7,1,5,4,1,7,5,5,2,26,4,7,7,7,prAndSn,marijuana
144,1,2,2,2,0,4,4,4,4,4,4,1,24,5,4,4,4,prAlone,marijuana
145,1,7,7,7,1,6,7,2,6,2,5,2,21,4,5,5,3,prAndSn,marijuana
146,1,4,5,5,1,4,2,3,5,5,5,2,38,4,7,7,7,prAlone,marijuana
147,1,4,4,4,1,3,4,3,3,3,3,2,48,4,6,6,6,prAlone,marijuana
148,1,7,7,7,1,6,2,1,7,7,7,1,29,4,3,3,5,prAndSn,marijuana
149,1,2,4,2,1,1,1,2,5,4,2,2,30,7,5,6,5,prAlone,marijuana
150,1,4,4,3,1,1,2,5,3,1,2,1,19,4,5,5,5,prAlone,marijuana
151,1,1,1,1,0,3,1,2,1,1,1,2,30,4,7,7,6,prAndSn,marijuana
152,1,4,3,6,1,4,2,2,4,2,2,2,31,7,6,6,6,prAndSn,marijuana
153,1,4,4,4,1,3,3,3,3,2,2,2,25,4,7,7,6,prAlone,marijuana
154,1,7,7,7,1,4,5,4,7,7,7,2,49,4,4,4,4,prAndSn,marijuana
155,1,5,7,7,1,4,5,3,7,5,6,2,30,4,3,3,3,prAlone,marijuana
156,1,2,3,2,0,3,1,3,3,2,2,2,28,4,6,7,4,prAndSn,marijuana
157,1,3,3,3,1,2,1,4,3,3,3,2,21,4,5,5,5,prAlone,marijuana
158,1,5,4,5,1,5,4,4,3,1,1,1,22,4,4,4,4,prAlone,marijuana
159,1,2,3,5,1,3,1,4,7,2,3,1,22,5,2,2,3,prAndSn,marijuana
160,1,1,1,1,0,1,1,5,2,2,2,2,26,4,7,7,7,prAlone,marijuana
161,1,1,1,7,0,6,1,1,7,1,1,2,40,4,6,6,3,prAndSn,marijuana
162,1,3,3,5,1,1,1,4,5,3,1,1,26,5,3,4,3,prAlone,marijuana
163,1,1,1,1,0,1,1,6,2,2,2,2,32,4,7,7,6,prAndSn,marijuana
164,1,2,2,2,0,4,1,4,2,2,2,2,33,4,5,6,5,prAlone,marijuana
165,1,7,7,7,1,4,1,7,7,7,7,2,33,4,6,7,5,prAndSn,marijuana
166,1,6,6,6,1,2,6,1,5,5,6,1,24,5,3,3,3,prAndSn,marijuana
167,1,4,3,4,0,4,3,4,7,5,5,2,31,4,6,5,5,prAlone,marijuana
168,1,5,7,7,1,5,4,3,6,7,7,1,28,8,4,4,5,prAlone,marijuana
169,1,4,4,4,1,4,4,4,4,4,4,1,22,4,4,4,4,prAndSn,marijuana
170,1,7,7,7,1,3,2,1,7,7,7,1,59,4,2,2,1,prAndSn,marijuana
171,1,1,1,1,0,4,1,4,4,5,5,3,22,8,7,7,7,prAndSn,marijuana
172,1,5,5,5,1,5,1,3,5,2,4,2,30,4,7,6,6,prAndSn,marijuana
173,1,5,3,4,1,5,5,5,5,4,3,1,22,4,4,4,4,prAlone,marijuana
174,1,1,1,1,0,1,1,4,7,3,4,2,50,4,7,7,5,prAlone,marijuana
175,1,1,1,1,0,3,1,7,7,3,3,2,58,5,5,5,5,prAndSn,marijuana
176,1,2,1,5,0,2,2,7,6,4,4,1,40,4,6,6,3,prAndSn,marijuana
177,1,2,6,2,0,2,2,5,6,6,6,1,33,4,5,5,5,prAlone,marijuana
178,1,1,1,1,0,4,1,7,7,7,7,2,30,6,6,6,6,prAlone,marijuana
179,1,2,6,2,0,2,1,6,5,5,5,1,34,4,7,7,7,prAlone,marijuana
180,1,6,5,4,1,5,4,6,6,6,5,1,NA,4,6,6,6,prAlone,marijuana
181,1,7,7,3,1,1,1,4,7,7,5,1,19,7,5,5,5,prAndSn,marijuana
182,1,3,2,7,0,1,1,4,5,1,2,1,25,4,5,5,3,prAlone,marijuana
183,1,1,1,1,0,1,1,5,4,2,2,1,58,4,7,7,7,prAlone,marijuana
184,1,1,1,1,0,4,2,4,2,2,2,2,37,4,6,6,6,prAlone,marijuana
185,1,1,1,4,0,4,1,4,6,6,6,2,NA,4,4,4,5,prAndSn,marijuana
186,1,7,7,7,1,7,7,7,7,7,7,1,29,4,6,5,3,prAlone,marijuana
187,1,2,2,6,1,4,1,3,4,3,2,2,28,4,5,4,4,prAndSn,marijuana
188,1,3,5,3,0,2,1,4,6,4,3,2,25,4,6,7,6,prAndSn,marijuana
189,1,1,1,7,0,1,1,4,4,6,6,1,30,4,6,6,5,prAlone,marijuana
190,1,1,2,1,0,1,1,4,7,5,4,1,39,4,7,7,7,prAlone,marijuana
191,1,2,3,2,0,4,3,3,5,1,1,1,34,7,6,6,NA,prAlone,marijuana
192,1,1,1,4,0,1,1,7,1,1,1,2,39,4,4,4,4,prAlone,marijuana
193,1,5,7,7,1,5,3,2,7,7,6,1,27,4,6,6,6,prAndSn,marijuana
194,1,1,1,7,0,1,1,6,1,1,1,1,60,4,7,7,7,prAndSn,marijuana
195,1,5,5,7,1,5,1,4,6,5,2,1,31,5,5,5,3,prAndSn,marijuana
196,1,7,7,7,1,5,5,3,7,7,7,2,56,4,3,5,1,prAlone,marijuana
197,1,5,7,6,1,4,4,2,4,5,5,1,42,4,5,5,6,prAndSn,marijuana
198,1,3,3,2,1,6,1,2,6,3,3,1,30,8,5,3,6,prAndSn,marijuana
199,1,1,2,4,0,6,1,3,2,2,3,3,24,4,7,7,7,prAndSn,marijuana
200,1,1,1,4,0,1,1,4,3,2,2,1,36,4,7,7,7,prAlone,marijuana
201,1,3,4,6,1,2,3,4,7,4,4,2,46,4,6,6,5,prAndSn,marijuana
202,1,1,1,1,0,1,1,4,2,2,2,1,36,4,4,5,4,prAlone,marijuana
203,1,3,4,6,1,3,1,4,3,4,4,2,34,4,5,6,5,prAndSn,marijuana
204,1,5,4,4,1,3,4,4,6,7,5,1,29,4,2,2,2,prAlone,marijuana
205,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prAlone,marijuana
206,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prAlone,marijuana
207,0,2,7,7,0,4,2,2,7,1,1,NA,NA,NA,NA,NA,NA,prAndSn,marijuana
1,1,7,7,7,1,6,7,2,7,7,7,1,37,4,3,3,3,prAndSn,movies
2,1,3,5,7,1,5,6,5,6,2,2,1,19,7,4,4,3,prAlone,movies
3,1,7,7,4,1,4,4,4,7,1,1,1,39,7,NA,2,3,prAndSn,movies
4,1,5,7,7,1,5,5,2,5,5,5,2,18,7,3,3,3,prAndSn,movies
5,1,6,6,6,1,6,6,5,6,6,6,2,35,7,3,3,2,prAlone,movies
6,1,1,1,5,0,6,1,1,2,1,1,1,28,5,6,6,3,prAndSn,movies
7,1,1,1,5,0,3,3,5,4,1,1,1,20,4,4,4,4,prAlone,movies
8,1,4,4,5,1,4,4,4,5,3,3,2,29,4,5,7,NA,prAlone,movies
9,1,7,6,5,1,7,6,6,7,6,5,1,44,4,5,5,6,prAndSn,movies
10,1,4,3,7,0,2,2,2,5,4,4,2,24,4,5,5,5,prAlone,movies
11,1,5,5,6,1,5,5,5,6,5,5,2,21,4,3,5,4,prAndSn,movies
12,1,4,5,7,0,5,4,4,5,7,7,2,33,8,4,7,6,prAndSn,movies
13,1,4,7,7,1,4,4,4,2,2,2,2,34,4,6,NA,NA,prAndSn,movies
14,1,5,3,7,1,3,2,4,5,2,3,1,32,4,4,4,4,prAlone,movies
15,1,2,5,7,0,4,4,4,1,1,2,1,19,8,6,6,6,prAndSn,movies
16,1,5,7,7,1,4,3,4,4,2,3,1,24,7,5,6,5,prAndSn,movies
17,1,7,7,7,1,6,6,2,5,5,5,2,31,4,3,5,3,prAlone,movies
18,1,6,6,7,1,5,5,3,4,3,5,2,35,4,5,5,5,prAlone,movies
19,1,6,7,7,1,6,5,2,5,2,5,2,26,4,6,6,6,prAndSn,movies
20,1,4,3,4,1,4,4,5,4,5,5,2,65,4,2,2,1,prAndSn,movies
21,1,7,7,7,1,4,5,4,2,2,2,2,27,4,4,4,4,prAndSn,movies
22,1,5,5,5,1,5,5,3,5,5,5,2,75,4,5,5,6,prAndSn,movies
23,1,3,5,7,1,5,5,3,5,3,2,2,47,4,2,2,2,prAlone,movies
24,1,1,2,6,1,5,5,3,2,1,1,2,45,4,7,7,6,prAlone,movies
25,0,1,1,3,0,6,6,2,3,2,1,2,41,4,7,7,5,prAlone,movies
26,1,3,2,5,1,4,6,4,1,1,1,1,19,4,6,6,5,prAlone,movies
27,1,7,7,7,1,7,7,3,5,5,7,2,21,4,4,4,4,prAlone,movies
28,1,5,6,7,1,6,7,4,5,6,5,1,40,4,3,3,4,prAndSn,movies
29,1,1,1,2,0,1,4,1,1,1,1,2,31,4,4,4,5,prAlone,movies
30,1,5,5,5,1,5,5,4,3,3,2,2,25,4,1,1,3,prAndSn,movies
31,1,3,2,5,1,4,4,3,3,2,2,1,29,4,6,5,4,prAndSn,movies
32,1,7,7,7,0,3,2,4,2,1,1,1,25,6,2,3,2,prAndSn,movies
33,1,7,7,7,1,3,3,3,5,5,5,2,26,4,6,6,6,prAndSn,movies
34,1,7,7,7,1,6,6,3,6,6,6,2,35,4,4,7,2,prAndSn,movies
35,1,5,5,7,0,6,5,4,1,2,2,2,40,4,2,2,2,prAlone,movies
36,1,3,3,5,1,5,5,4,1,2,2,2,22,4,4,6,4,prAlone,movies
37,1,3,3,6,1,2,2,4,6,5,2,2,30,4,4,5,3,prAlone,movies
38,1,2,6,6,1,5,6,3,5,5,5,2,34,4,5,5,5,prAlone,movies
39,1,2,3,6,0,5,4,3,2,2,2,1,29,4,5,5,5,prAndSn,movies
40,1,1,1,4,0,5,3,2,1,1,1,2,19,4,7,7,6,prAlone,movies
41,1,2,1,4,0,5,1,3,3,2,2,1,23,7,6,6,6,prAndSn,movies
42,1,5,5,5,0,5,5,3,4,5,5,1,50,4,2,2,2,prAlone,movies
43,1,7,7,7,1,7,7,7,7,1,1,2,28,6,7,7,6,prAndSn,movies
44,1,2,2,4,0,4,3,4,2,2,2,2,28,4,7,6,6,prAndSn,movies
45,1,5,5,7,1,4,5,5,2,5,3,2,29,8,3,3,3,prAndSn,movies
46,1,3,7,7,1,7,7,5,7,7,7,2,31,8,1,7,3,prAlone,movies
47,1,1,1,1,0,2,1,4,1,1,1,2,33,4,7,7,5,prAndSn,movies
48,1,2,2,3,1,2,4,3,4,4,2,1,19,4,3,3,3,prAndSn,movies
49,1,1,2,6,0,2,2,2,7,6,3,1,41,4,6,6,7,prAndSn,movies
50,1,1,1,1,1,4,4,4,7,5,5,1,22,4,5,5,5,prAndSn,movies
51,1,3,4,5,1,5,3,3,6,3,5,1,20,4,5,3,6,prAndSn,movies
52,1,7,3,7,1,4,4,6,5,5,3,1,24,5,4,5,3,prAlone,movies
53,1,6,5,7,1,4,4,5,5,5,4,2,25,4,5,6,3,prAndSn,movies
54,1,7,7,6,1,5,6,6,7,3,4,2,24,8,3,3,6,prAlone,movies
55,1,6,6,7,1,6,6,2,7,6,6,1,59,4,2,3,3,prAlone,movies
56,1,7,7,7,1,7,7,1,3,7,7,2,33,7,6,2,6,prAndSn,movies
57,1,1,2,5,0,2,2,3,7,1,1,1,25,5,4,4,4,prAndSn,movies
58,1,2,1,2,1,3,3,3,4,4,2,2,49,4,3,7,3,prAndSn,movies
59,1,3,6,6,1,4,4,3,4,4,4,2,30,5,7,7,7,prAndSn,movies
60,1,7,1,7,1,7,7,1,5,2,2,2,50,4,5,4,5,prAndSn,movies
61,1,1,1,1,0,1,1,5,1,1,1,1,25,4,3,6,2,prAndSn,movies
62,1,5,5,5,1,3,5,3,4,3,1,2,28,4,5,6,3,prAndSn,movies
63,1,2,2,6,1,2,2,7,2,2,2,2,39,5,6,7,6,prAndSn,movies
64,1,2,2,6,0,4,3,3,2,2,2,2,25,4,6,7,6,prAndSn,movies
65,1,4,5,5,1,2,2,4,3,2,3,2,39,4,6,7,6,prAlone,movies
66,1,7,7,7,1,6,6,3,6,6,6,1,22,4,5,5,5,prAndSn,movies
67,1,2,2,3,0,4,4,3,2,1,1,1,24,4,2,5,3,prAndSn,movies
68,1,5,5,6,1,5,5,4,5,3,4,2,39,8,6,6,6,prAlone,movies
69,1,6,6,3,1,1,1,4,4,1,1,1,27,4,6,6,7,prAlone,movies
70,1,1,6,7,1,3,4,1,3,1,2,2,19,4,5,5,4,prAndSn,movies
71,1,7,7,7,1,7,7,1,3,5,4,1,45,4,7,7,7,prAndSn,movies
72,1,4,4,7,1,4,4,4,6,2,2,2,42,6,5,7,7,prAlone,movies
73,1,7,7,7,1,4,6,2,4,4,4,2,59,4,3,6,4,prAndSn,movies
74,1,2,2,4,0,3,3,3,3,2,2,1,26,4,6,7,5,prAlone,movies
75,1,7,6,5,1,4,6,1,2,2,3,1,25,4,3,5,2,prAndSn,movies
76,1,1,1,1,0,3,2,6,6,1,1,2,24,4,6,7,6,prAlone,movies
77,1,3,3,3,1,2,2,3,4,2,2,2,35,4,7,7,7,prAlone,movies
78,1,2,4,7,0,5,5,4,3,1,2,2,18,4,4,3,5,prAlone,movies
79,1,4,5,5,1,4,3,3,4,5,3,1,21,4,5,5,5,prAlone,movies
80,1,3,3,5,1,2,2,5,3,4,2,2,30,4,7,7,6,prAlone,movies
81,1,4,5,7,1,6,5,4,4,2,2,2,40,6,5,5,4,prAndSn,movies
82,1,6,2,5,1,5,5,2,4,1,1,1,19,4,2,2,6,prAlone,movies
83,1,4,4,6,0,4,4,4,5,1,1,2,21,7,7,7,7,prAlone,movies
84,1,1,1,3,0,2,2,3,1,1,1,2,49,4,7,7,7,prAndSn,movies
85,1,2,2,5,0,5,3,1,6,6,6,1,37,4,7,7,7,prAndSn,movies
86,1,1,1,1,0,1,1,1,1,1,1,2,34,5,6,7,5,prAlone,movies
87,1,7,7,7,1,7,7,1,7,7,7,2,55,4,6,6,6,prAlone,movies
88,1,5,1,7,1,5,6,5,6,4,5,2,33,4,4,4,3,prAlone,movies
89,1,7,7,7,1,5,5,1,2,2,1,2,25,4,7,7,7,prAndSn,movies
90,1,5,4,7,1,2,2,6,5,1,2,2,18,4,2,2,NA,prAlone,movies
91,1,1,1,2,1,1,1,4,2,2,2,2,50,4,7,7,7,prAlone,movies
92,1,1,1,1,0,1,1,5,4,2,2,1,21,4,4,4,4,prAndSn,movies
93,1,5,5,7,1,7,7,1,5,5,4,2,19,5,5,7,3,prAndSn,movies
94,1,1,4,4,0,3,1,3,1,1,1,3,22,4,1,1,1,prAndSn,movies
95,1,1,3,6,1,2,2,1,1,1,1,2,35,4,7,7,5,prAlone,movies
96,1,7,7,7,1,7,7,1,7,7,7,1,31,4,6,5,6,prAlone,movies
97,1,6,1,7,1,4,4,6,5,5,5,2,52,4,6,6,6,prAlone,movies
98,1,3,3,3,0,4,4,4,2,1,1,2,53,4,5,5,5,prAlone,movies
99,1,2,3,6,0,3,3,5,2,2,2,2,32,4,6,6,6,prAlone,movies
100,1,4,3,6,1,5,5,4,4,3,5,2,47,4,2,2,3,prAlone,movies
101,1,4,3,5,0,2,4,7,4,6,5,1,35,6,4,5,4,prAndSn,movies
102,1,2,2,4,0,2,2,4,3,2,2,1,23,5,6,6,6,prAndSn,movies
103,1,6,6,7,1,5,5,4,5,1,1,2,53,4,6,6,5,prAlone,movies
104,1,3,7,5,1,5,7,1,6,5,6,1,24,4,6,2,6,prAlone,movies
105,1,7,7,7,1,7,7,1,7,7,7,1,32,4,7,7,7,prAndSn,movies
106,1,2,4,2,0,2,2,4,1,1,1,2,31,4,7,7,7,prAndSn,movies
107,1,2,2,2,0,5,5,3,4,1,1,1,37,4,3,3,3,prAlone,movies
108,1,5,7,7,1,6,5,3,5,5,5,2,25,4,6,6,6,prAndSn,movies
109,1,6,7,7,1,6,6,5,4,4,4,2,42,4,6,6,6,prAlone,movies
110,1,6,7,7,1,6,6,3,5,2,5,1,49,4,3,6,2,prAlone,movies
111,1,2,2,7,0,3,3,2,1,1,1,2,53,4,6,6,6,prAndSn,movies
112,1,7,7,7,1,7,7,1,1,2,2,2,37,6,4,4,5,prAndSn,movies
113,1,4,5,7,1,3,5,4,5,4,5,2,21,4,4,4,2,prAlone,movies
114,1,2,3,3,0,3,2,4,2,2,2,1,18,4,4,4,4,prAlone,movies
115,1,7,7,7,1,4,4,2,7,7,7,2,23,4,2,2,2,prAndSn,movies
116,1,4,3,5,0,3,4,4,5,3,7,1,35,4,3,5,2,prAndSn,movies
117,1,3,5,7,0,5,5,4,1,1,1,2,29,4,6,6,6,prAndSn,movies
118,1,4,5,5,1,5,5,5,6,6,6,2,58,5,6,7,6,prAndSn,movies
119,1,1,1,1,0,1,1,1,1,1,1,1,24,4,7,7,7,prAndSn,movies
120,1,1,1,4,0,3,2,4,2,2,2,2,34,4,7,7,5,prAndSn,movies
121,1,3,3,5,1,5,5,4,5,5,2,1,20,4,3,4,4,prAlone,movies
122,1,7,1,7,1,7,7,1,6,7,7,2,55,4,6,7,5,prAndSn,movies
123,1,4,4,5,0,1,2,4,3,1,1,2,21,5,7,7,7,prAlone,movies
